@relation 'output-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lmerged-R2,3,4-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz_splacona:dobry,merged:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {kobieta,mezczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
200,'\'(55.2-67.6]\'',kobieta,11,983.97,2,77,48,dobry
300,'\'(42.8-55.2]\'',kobieta,12,1038.68,0,20,26,dobry
295.24,'\'(42.8-55.2]\'',kobieta,12,1032,4,37,40,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,3300,0,236,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,977,0,0,3,zly
200,'\'(42.8-55.2]\'',kobieta,16,848.27,0,173,48,zly
400,'\'(55.2-67.6]\'',kobieta,13,815,1,143,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1255,0,180,48,zly
246.99,'\'(42.8-55.2]\'',kobieta,11,1400,4,160,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1521,0,19,30,dobry
400,'\'(30.4-42.8]\'',kobieta,11,980.11,1,44,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1800,0,53,48,dobry
500,'\'(42.8-55.2]\'',kobieta,17,990,0,71,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,11,2600,0,134,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,1460.17,1,60,48,dobry
450,'\'(67.6-inf)\'',mezczyzna,13,2000,4,44,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,16,1151,0,360,48,zly
400,'\'(55.2-67.6]\'',mezczyzna,16,1473.04,1,164,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,720,1,231,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,16,1327.87,0,15,48,zly
200,'\'(42.8-55.2]\'',kobieta,16,749.28,4,64,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1420,0,52,48,dobry
895.59,'\'(42.8-55.2]\'',mezczyzna,11,2500,0,203,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1400,0,160,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,962,0,64,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1426,4,76,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1100,1,104,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,967.64,3,318,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,3700,4,26,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1772.53,1,279,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1016,0,188,48,dobry
348.19,'\'(55.2-67.6]\'',mezczyzna,11,2947,4,52,48,zly
407.31,'\'(67.6-inf)\'',kobieta,16,980,4,130,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1362,4,55,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,2100,1,159,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1900,4,87,48,dobry
328,'\'(55.2-67.6]\'',mezczyzna,12,1000,4,11,14,dobry
328.32,'\'(42.8-55.2]\'',kobieta,12,1000,4,31,34,dobry
277.34,'\'(30.4-42.8]\'',kobieta,11,1770,4,86,48,dobry
500,'\'(55.2-67.6]\'',kobieta,11,2249.14,0,240,48,zly
350,'\'(67.6-inf)\'',mezczyzna,13,1519,1,254,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,2080,0,318,48,dobry
200,'\'(42.8-55.2]\'',kobieta,17,1079,0,29,38,dobry
200,'\'(55.2-67.6]\'',kobieta,98,980,3,10,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,1577.42,1,205,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,2066,4,129,48,dobry
800,'\'(55.2-67.6]\'',kobieta,13,580,4,119,48,zly
600,'\'(42.8-55.2]\'',kobieta,11,3200,4,54,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,670,4,9,11,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1400,4,117,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,11,1300,4,45,48,dobry
1000,'\'(67.6-inf)\'',kobieta,13,2291,1,71,48,dobry
284.19,'\'(30.4-42.8]\'',kobieta,98,1200,4,46,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,900,4,93,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,634,3,51,48,dobry
400,'\'(30.4-42.8]\'',kobieta,99,730,0,3,6,zly
300,'\'(55.2-67.6]\'',kobieta,13,1409,0,61,48,zly
200,'\'(67.6-inf)\'',kobieta,13,1026,4,247,48,dobry
296,'\'(55.2-67.6]\'',kobieta,13,1658,4,29,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,803.86,4,158,48,dobry
250,'\'(30.4-42.8]\'',kobieta,99,2290.55,1,18,20,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,562,0,81,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1287.66,3,96,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,1300,0,34,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1360,0,120,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,670,0,66,48,dobry
799.85,'\'(30.4-42.8]\'',kobieta,11,2050,0,29,48,dobry
400,'\'(55.2-67.6]\'',kobieta,16,1411,1,66,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,599.03,3,19,21,dobry
300,'\'(42.8-55.2]\'',kobieta,12,989.89,0,6,10,zly
300,'\'(55.2-67.6]\'',kobieta,13,1233,3,123,48,dobry
800,'\'(42.8-55.2]\'',kobieta,13,3440,4,51,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1185.33,4,224,48,dobry
659.87,'\'(55.2-67.6]\'',mezczyzna,13,3040,0,201,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1500,0,60,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1032.34,4,5,11,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1635,4,120,48,dobry
218.32,'\'(55.2-67.6]\'',kobieta,13,975,4,27,48,dobry
900,'\'(30.4-42.8]\'',kobieta,11,2200,0,37,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,1977,2,55,48,dobry
315.49,'\'(67.6-inf)\'',mezczyzna,13,960,4,140,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1162,4,221,48,dobry
700,'\'(42.8-55.2]\'',kobieta,16,2300,5,63,48,dobry
800,'\'(30.4-42.8]\'',mezczyzna,12,1500,1,33,35,dobry
200,'\'(-inf-30.4]\'',mezczyzna,99,1300,0,1,3,zly
375.81,'\'(-inf-30.4]\'',mezczyzna,11,1888.27,0,77,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,917,2,76,48,dobry
216.24,'\'(42.8-55.2]\'',kobieta,11,1344.9,3,46,48,dobry
1000,'\'(30.4-42.8]\'',kobieta,98,6000,0,17,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,16,1313.41,4,28,48,dobry
1000,'\'(30.4-42.8]\'',kobieta,11,2200,0,204,48,zly
200,'\'(67.6-inf)\'',kobieta,13,866.46,1,195,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,2800,4,60,48,dobry
495.15,'\'(30.4-42.8]\'',mezczyzna,11,2470,1,66,48,dobry
600,'\'(42.8-55.2]\'',mezczyzna,11,2000,0,51,48,dobry
350,'\'(55.2-67.6]\'',mezczyzna,13,1503,0,166,48,dobry
235.97,'\'(55.2-67.6]\'',mezczyzna,12,1100,4,22,36,dobry
600,'\'(67.6-inf)\'',kobieta,13,2120,4,119,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,1200,4,119,48,dobry
460,'\'(55.2-67.6]\'',kobieta,13,1013.74,4,113,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,781.21,0,45,48,zly
400,'\'(55.2-67.6]\'',kobieta,11,1500,3,85,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1580,0,132,48,zly
350,'\'(55.2-67.6]\'',kobieta,17,547.89,1,56,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1031,0,121,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,930,5,131,48,dobry
600,'\'(42.8-55.2]\'',mezczyzna,12,2673.17,4,112,48,dobry
670,'\'(55.2-67.6]\'',kobieta,13,930,1,94,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,714,5,222,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,840,2,113,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1134,0,60,48,zly
423.23,'\'(30.4-42.8]\'',mezczyzna,11,2700,4,15,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,1350,4,22,24,dobry
300,'\'(42.8-55.2]\'',kobieta,12,1009.34,3,29,48,zly
500,'\'(-inf-30.4]\'',mezczyzna,12,1204,0,8,18,zly
200,'\'(55.2-67.6]\'',mezczyzna,13,1611,2,141,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,2500,0,233,48,dobry
600,'\'(-inf-30.4]\'',mezczyzna,12,1300,4,27,41,zly
300,'\'(42.8-55.2]\'',mezczyzna,17,798.8,4,149,48,zly
1000,'\'(55.2-67.6]\'',kobieta,11,2670,4,88,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1000,1,64,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1042,1,5,11,zly
300,'\'(30.4-42.8]\'',kobieta,12,1027,4,9,48,dobry
250,'\'(42.8-55.2]\'',kobieta,11,3000,4,93,48,dobry
300,'\'(30.4-42.8]\'',kobieta,12,1200,4,9,14,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1137.19,4,96,48,dobry
300,'\'(30.4-42.8]\'',kobieta,12,1100,0,3,3,zly
300,'\'(67.6-inf)\'',kobieta,13,1027,0,192,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,802.83,4,201,48,dobry
400,'\'(67.6-inf)\'',kobieta,13,1239,4,270,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,720.19,2,93,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,11,2250.05,2,176,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,12,600,5,9,27,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,3300,1,237,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1150,0,138,48,dobry
265.58,'\'(55.2-67.6]\'',kobieta,13,1189,4,70,48,dobry
417.8,'\'(42.8-55.2]\'',mezczyzna,12,1574.45,3,31,35,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,1320,4,342,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,3170,4,285,48,dobry
357.31,'\'(30.4-42.8]\'',mezczyzna,11,1261.98,4,36,48,dobry
350,'\'(55.2-67.6]\'',mezczyzna,16,837,3,231,48,dobry
900,'\'(55.2-67.6]\'',kobieta,17,684,4,190,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,12,1000,0,1,11,zly
606.35,'\'(42.8-55.2]\'',mezczyzna,11,3200,4,189,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1474.55,3,65,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,11,1195,0,78,48,zly
500,'\'(67.6-inf)\'',kobieta,13,951,4,162,48,dobry
400,'\'(30.4-42.8]\'',kobieta,12,660,4,12,38,dobry
400,'\'(42.8-55.2]\'',kobieta,16,1045.6,5,12,48,dobry
600,'\'(42.8-55.2]\'',kobieta,12,1675,4,9,11,dobry
300,'\'(30.4-42.8]\'',mezczyzna,98,1220,0,4,48,zly
1000,'\'(42.8-55.2]\'',kobieta,11,5800,4,54,48,dobry
1000,'\'(55.2-67.6]\'',mezczyzna,13,3600,3,86,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,1600,0,24,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,1800,4,165,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1400,3,12,32,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1817.24,3,18,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,11,1047,0,3,48,zly
200,'\'(42.8-55.2]\'',kobieta,16,1740,1,114,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,640,1,139,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,965,4,245,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1800,0,52,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,16,634.64,0,69,48,zly
500,'\'(55.2-67.6]\'',kobieta,13,1212,4,54,48,dobry
500,'\'(-inf-30.4]\'',mezczyzna,12,1300,0,0,2,zly
367.31,'\'(55.2-67.6]\'',kobieta,13,1684,4,20,48,dobry
407.1,'\'(55.2-67.6]\'',mezczyzna,13,2010,0,138,48,dobry
327,'\'(42.8-55.2]\'',kobieta,11,2065.98,4,179,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1000,4,68,48,dobry
449.33,'\'(30.4-42.8]\'',kobieta,11,2927,3,201,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,780,0,1,3,zly
200,'\'(-inf-30.4]\'',mezczyzna,11,1400,0,25,48,dobry
496.83,'\'(30.4-42.8]\'',kobieta,11,1600,4,14,48,dobry
200,'\'(67.6-inf)\'',kobieta,16,959.6,4,115,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,1031,0,3,48,zly
400,'\'(55.2-67.6]\'',kobieta,13,1170,3,78,48,dobry
200,'\'(55.2-67.6]\'',kobieta,11,1172.2,4,37,48,dobry
321.21,'\'(55.2-67.6]\'',kobieta,16,892,3,201,48,dobry
1070,'\'(67.6-inf)\'',kobieta,13,2421.55,1,245,48,dobry
250,'\'(42.8-55.2]\'',kobieta,17,864.6,0,2,7,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1130,4,103,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,990.34,3,56,48,dobry
1075.62,'\'(30.4-42.8]\'',mezczyzna,11,2875.71,4,278,48,zly
286.94,'\'(42.8-55.2]\'',kobieta,12,1050,3,34,36,dobry
300,'\'(55.2-67.6]\'',kobieta,13,997,4,79,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1428.55,4,137,48,dobry
693.7,'\'(30.4-42.8]\'',kobieta,11,1900,0,208,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1300,1,193,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,730,3,561,48,dobry
600,'\'(55.2-67.6]\'',mezczyzna,13,1217,1,51,48,dobry
426.61,'\'(42.8-55.2]\'',kobieta,11,2470,5,354,48,dobry
200,'\'(42.8-55.2]\'',kobieta,99,598,1,3,6,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1700,4,39,48,dobry
400,'\'(55.2-67.6]\'',kobieta,16,1589,0,27,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1530,0,25,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,11,4000,5,10,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,985,5,13,17,dobry
500,'\'(67.6-inf)\'',kobieta,13,729.03,5,257,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,611,3,139,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,11,3000,5,212,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1290,4,19,48,dobry
297.69,'\'(55.2-67.6]\'',kobieta,13,1014,0,183,48,dobry
600,'\'(42.8-55.2]\'',kobieta,12,830.46,3,45,48,dobry
300,'\'(55.2-67.6]\'',kobieta,16,1132,1,97,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,616,4,246,48,dobry
200,'\'(30.4-42.8]\'',kobieta,16,793.89,0,203,48,zly
300,'\'(-inf-30.4]\'',mezczyzna,12,952.89,0,23,26,dobry
300,'\'(42.8-55.2]\'',mezczyzna,13,3900,5,30,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1350,3,111,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,98,2000,0,14,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,936,2,31,48,dobry
388.45,'\'(42.8-55.2]\'',mezczyzna,98,3178,0,201,48,dobry
371.01,'\'(42.8-55.2]\'',mezczyzna,12,1952.35,4,4,11,dobry
300,'\'(55.2-67.6]\'',kobieta,11,1680,4,385,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,2800,4,319,48,dobry
783.61,'\'(55.2-67.6]\'',kobieta,13,860,1,80,48,dobry
800,'\'(55.2-67.6]\'',mezczyzna,11,1000,4,63,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,11,1842.86,3,8,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1210,0,138,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,2051,1,138,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1000,5,12,25,dobry
200,'\'(67.6-inf)\'',kobieta,13,1026,5,247,48,dobry
250,'\'(42.8-55.2]\'',kobieta,11,1700,4,306,48,dobry
600,'\'(30.4-42.8]\'',kobieta,98,5000,0,84,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1077,1,183,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1375.47,2,7,8,dobry
600,'\'(42.8-55.2]\'',mezczyzna,16,588,1,422,48,dobry
1000,'\'(67.6-inf)\'',kobieta,13,2100,4,55,48,dobry
200,'\'(42.8-55.2]\'',kobieta,16,685,0,41,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1240,1,70,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1090.14,4,75,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1077.49,4,372,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,12220,3,71,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1134.96,1,161,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,1333,0,4,48,zly
300,'\'(30.4-42.8]\'',kobieta,11,1286.16,1,117,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,1389,4,91,48,dobry
800,'\'(55.2-67.6]\'',mezczyzna,12,2500,3,5,10,dobry
378.91,'\'(67.6-inf)\'',kobieta,13,1291.18,5,79,48,dobry
200,'\'(-inf-30.4]\'',kobieta,17,1200,5,165,48,dobry
400,'\'(42.8-55.2]\'',kobieta,12,1700,5,55,48,dobry
800,'\'(-inf-30.4]\'',mezczyzna,99,2200.33,0,2,2,zly
200,'\'(42.8-55.2]\'',kobieta,11,1700,5,205,48,dobry
400,'\'(-inf-30.4]\'',mezczyzna,11,2700,0,64,48,dobry
500,'\'(67.6-inf)\'',mezczyzna,13,1700,4,14,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,639.31,0,417,48,zly
600,'\'(42.8-55.2]\'',kobieta,11,1700,4,89,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1295.37,0,307,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1390.98,0,73,48,zly
300,'\'(42.8-55.2]\'',mezczyzna,11,1400,0,14,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1300,0,452,48,dobry
200,'\'(-inf-30.4]\'',kobieta,11,1373.34,2,58,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,703,4,26,48,dobry
1000,'\'(30.4-42.8]\'',mezczyzna,11,2258,5,75,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1131.5,0,20,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,910,5,70,48,dobry
200,'\'(-inf-30.4]\'',kobieta,12,1100,1,15,17,dobry
700,'\'(30.4-42.8]\'',mezczyzna,12,3000,0,8,10,zly
200,'\'(42.8-55.2]\'',mezczyzna,11,2094.17,1,241,48,dobry
300,'\'(30.4-42.8]\'',kobieta,11,2899.34,1,121,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,722.05,4,197,48,dobry
515.96,'\'(55.2-67.6]\'',kobieta,13,1801.41,0,38,48,dobry
1000,'\'(55.2-67.6]\'',kobieta,13,1820,0,69,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,855,0,84,48,zly
400,'\'(67.6-inf)\'',mezczyzna,13,1870,0,85,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,16,1770,5,89,48,dobry
200,'\'(30.4-42.8]\'',kobieta,11,1037.34,0,62,48,zly
397.31,'\'(55.2-67.6]\'',kobieta,13,1149.06,0,161,48,zly
400,'\'(55.2-67.6]\'',kobieta,13,850,4,67,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,99,1393.85,3,5,5,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1500,0,6,8,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1216,5,141,48,dobry
300,'\'(42.8-55.2]\'',kobieta,98,1357,0,1,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1000,2,43,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1239.98,2,255,48,dobry
345.97,'\'(42.8-55.2]\'',kobieta,11,1721.7,5,120,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,3898,0,181,48,dobry
800,'\'(-inf-30.4]\'',mezczyzna,11,1881,0,36,48,zly
500,'\'(55.2-67.6]\'',kobieta,13,1691.3,1,73,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,1825.35,0,105,48,zly
400,'\'(55.2-67.6]\'',mezczyzna,13,3900,0,114,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1459,2,9,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,1566.82,1,349,48,dobry
300,'\'(30.4-42.8]\'',kobieta,12,476,0,12,14,zly
314.83,'\'(30.4-42.8]\'',kobieta,11,2709.34,5,181,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,11,1800,1,259,48,dobry
298.74,'\'(42.8-55.2]\'',mezczyzna,13,1688.82,3,99,48,zly
200,'\'(67.6-inf)\'',kobieta,13,785,1,64,48,dobry
600,'\'(55.2-67.6]\'',kobieta,13,1050,5,139,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,12,1952.35,0,4,11,dobry
400,'\'(42.8-55.2]\'',kobieta,11,980,0,200,48,dobry
370,'\'(30.4-42.8]\'',kobieta,11,1087,0,238,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,714,0,222,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,2261,0,51,48,zly
500,'\'(30.4-42.8]\'',kobieta,11,1792,0,62,48,zly
400,'\'(42.8-55.2]\'',mezczyzna,12,1963.88,4,6,6,dobry
290,'\'(55.2-67.6]\'',kobieta,13,1280,5,17,48,dobry
250,'\'(30.4-42.8]\'',kobieta,11,800.51,0,20,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1525.46,0,36,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,757.1,0,198,48,zly
300,'\'(42.8-55.2]\'',mezczyzna,11,2100,0,50,48,dobry
1000,'\'(30.4-42.8]\'',mezczyzna,11,3800,0,55,48,zly
200,'\'(55.2-67.6]\'',kobieta,16,1600,1,24,48,dobry
500,'\'(-inf-30.4]\'',kobieta,12,1447,5,22,24,dobry
300,'\'(55.2-67.6]\'',kobieta,13,2282,1,25,48,dobry
399.72,'\'(42.8-55.2]\'',kobieta,11,2368.57,3,410,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,12,1106.03,0,17,26,zly
200,'\'(55.2-67.6]\'',kobieta,13,1212,0,199,48,zly
400,'\'(55.2-67.6]\'',kobieta,13,717.96,0,81,48,zly
200,'\'(67.6-inf)\'',kobieta,13,907,3,234,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,932.34,5,395,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,810,5,33,48,dobry
200,'\'(30.4-42.8]\'',kobieta,11,2505,1,164,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1493.98,4,361,48,dobry
400,'\'(55.2-67.6]\'',kobieta,11,1730.13,3,193,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1425,0,79,48,dobry
200,'\'(67.6-inf)\'',mezczyzna,13,910.33,4,163,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1180,0,140,48,dobry
400,'\'(30.4-42.8]\'',mezczyzna,98,1256,0,69,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1442.43,0,141,48,dobry
200,'\'(55.2-67.6]\'',kobieta,17,1100,3,27,33,dobry
400,'\'(42.8-55.2]\'',kobieta,98,3000,1,85,48,dobry
700,'\'(30.4-42.8]\'',kobieta,11,3178.76,0,121,48,dobry
700,'\'(30.4-42.8]\'',kobieta,11,3100,0,121,48,dobry
400,'\'(67.6-inf)\'',kobieta,13,1900,1,121,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,1443,5,34,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1521,1,20,30,dobry
400,'\'(55.2-67.6]\'',kobieta,16,1090,0,77,48,zly
500,'\'(55.2-67.6]\'',mezczyzna,13,1900,5,150,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,728,5,100,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,984.34,4,18,20,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,2110,5,101,48,dobry
800,'\'(30.4-42.8]\'',kobieta,11,1682,0,96,48,zly
200,'\'(55.2-67.6]\'',mezczyzna,12,1033.71,0,8,9,zly
500,'\'(42.8-55.2]\'',kobieta,11,1800,5,53,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,12,990.59,0,74,48,zly
300,'\'(55.2-67.6]\'',mezczyzna,13,1573,0,89,48,dobry
200,'\'(42.8-55.2]\'',kobieta,99,1100,2,52,48,dobry
349.66,'\'(55.2-67.6]\'',mezczyzna,13,1601.87,1,45,48,dobry
300,'\'(55.2-67.6]\'',kobieta,16,634.64,4,136,48,dobry
1000,'\'(30.4-42.8]\'',kobieta,11,2200,0,37,48,dobry
297.86,'\'(-inf-30.4]\'',kobieta,12,1634,3,12,15,dobry
500,'\'(67.6-inf)\'',mezczyzna,13,2112,0,98,48,zly
800,'\'(55.2-67.6]\'',kobieta,13,5100,0,28,48,dobry
250,'\'(55.2-67.6]\'',kobieta,16,2100,0,39,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,12,1210,0,7,9,dobry
300,'\'(-inf-30.4]\'',kobieta,12,1500,4,4,5,dobry
300,'\'(-inf-30.4]\'',kobieta,12,1300,4,8,12,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1026,4,55,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,1400,0,246,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,1536,0,36,48,dobry
395.77,'\'(55.2-67.6]\'',kobieta,13,1668,5,91,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,935,0,132,48,zly
700,'\'(55.2-67.6]\'',kobieta,13,1872,5,35,48,dobry
500,'\'(-inf-30.4]\'',mezczyzna,11,2327.94,1,35,48,dobry
