@relation 'output-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lmerged-R2,3,4-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz_splacona:dobry,merged:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {kobieta,mezczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
400,'\'(55.2-67.6]\'',kobieta,11,1500,2,84,48,dobry
700,'\'(30.4-42.8]\'',kobieta,11,2200,0,36,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,866.46,0,194,48,dobry
473,'\'(30.4-42.8]\'',kobieta,11,1400,0,100,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1313,0,36,48,zly
300,'\'(-inf-30.4]\'',kobieta,16,540,0,13,48,zly
300,'\'(30.4-42.8]\'',mezczyzna,11,2100,0,63,48,dobry
700,'\'(-inf-30.4]\'',mezczyzna,12,1800,3,10,10,dobry
300,'\'(42.8-55.2]\'',kobieta,12,1009.34,2,28,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1042,0,4,4,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,979.34,0,188,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,1428.55,3,136,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1000,0,63,48,dobry
400,'\'(30.4-42.8]\'',kobieta,12,660,3,11,38,dobry
200,'\'(67.6-inf)\'',kobieta,13,616,3,245,48,dobry
496.83,'\'(30.4-42.8]\'',kobieta,11,1600,3,13,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,1611,1,140,48,dobry
367.31,'\'(55.2-67.6]\'',kobieta,13,1684,3,19,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1500,3,45,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,13,974,0,82,48,zly
200,'\'(42.8-55.2]\'',kobieta,16,1740,0,113,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,1037,0,39,48,zly
400,'\'(42.8-55.2]\'',kobieta,11,3170,3,284,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,930,4,130,48,dobry
426.66,'\'(42.8-55.2]\'',mezczyzna,12,1574.45,2,30,35,dobry
500,'\'(67.6-inf)\'',kobieta,13,640,0,138,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1474.55,2,64,48,dobry
600,'\'(42.8-55.2]\'',kobieta,12,830.46,2,44,48,dobry
357.31,'\'(30.4-42.8]\'',mezczyzna,11,1261.98,3,35,48,dobry
265.58,'\'(55.2-67.6]\'',kobieta,13,1189,3,69,48,dobry
350,'\'(55.2-67.6]\'',mezczyzna,16,837,2,230,48,dobry
900,'\'(55.2-67.6]\'',kobieta,17,684,3,189,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,965,3,244,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,703,3,25,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,99,750,3,3,5,dobry
600,'\'(42.8-55.2]\'',kobieta,12,1675,3,8,11,dobry
400,'\'(42.8-55.2]\'',kobieta,16,1045.6,4,11,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1137.19,3,95,48,dobry
300,'\'(30.4-42.8]\'',kobieta,12,1200,3,8,14,dobry
200,'\'(42.8-55.2]\'',kobieta,12,990.34,2,55,48,dobry
327,'\'(42.8-55.2]\'',kobieta,11,2065.98,3,178,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,800.51,0,19,48,dobry
1000,'\'(42.8-55.2]\'',kobieta,11,5800,3,53,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1817.24,2,17,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1239,3,269,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,12,1400,2,11,32,dobry
200,'\'(55.2-67.6]\'',mezczyzna,16,763.38,3,210,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,997,3,78,48,dobry
515.96,'\'(55.2-67.6]\'',kobieta,13,1801.41,0,37,48,dobry
241.15,'\'(42.8-55.2]\'',mezczyzna,12,1030,3,8,24,zly
1000,'\'(55.2-67.6]\'',mezczyzna,13,3600,2,85,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,1800,3,164,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1400,0,24,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,2100,2,49,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1212,3,53,48,dobry
700,'\'(67.6-inf)\'',mezczyzna,13,2098,3,196,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,12,600,4,8,27,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,1400,3,13,48,dobry
662.81,'\'(42.8-55.2]\'',mezczyzna,11,3200,3,188,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1000,3,67,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,730,2,560,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,802.83,3,200,48,dobry
369.53,'\'(67.6-inf)\'',kobieta,13,3541.9,1,126,48,dobry
600,'\'(30.4-42.8]\'',kobieta,11,1290,3,18,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,11,3000,4,211,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,11,2284.23,1,299,48,dobry
200,'\'(67.6-inf)\'',kobieta,16,959.6,3,114,48,dobry
300,'\'(55.2-67.6]\'',kobieta,11,1680,3,384,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,11,1250,0,64,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,425,0,160,48,zly
800,'\'(55.2-67.6]\'',mezczyzna,11,1000,3,62,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,1700,3,88,48,dobry
409.15,'\'(55.2-67.6]\'',kobieta,16,892,2,200,48,dobry
294.37,'\'(42.8-55.2]\'',kobieta,12,1050,2,33,36,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1130,3,102,48,dobry
300.4,'\'(55.2-67.6]\'',kobieta,11,1172.2,3,36,48,dobry
600,'\'(30.4-42.8]\'',kobieta,98,5000,2,83,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,11,1700,3,38,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,611,2,138,48,dobry
500,'\'(42.8-55.2]\'',mezczyzna,11,1320,3,341,48,dobry
426.61,'\'(42.8-55.2]\'',kobieta,11,2470,4,353,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,12220,2,70,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,11,4000,4,9,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,686.16,0,76,48,zly
300,'\'(55.2-67.6]\'',kobieta,16,1132,0,96,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,985,4,12,13,dobry
717.02,'\'(55.2-67.6]\'',mezczyzna,13,2010,2,137,48,dobry
600,'\'(42.8-55.2]\'',kobieta,11,2800,3,318,48,dobry
500,'\'(67.6-inf)\'',kobieta,13,729.03,4,256,48,dobry
1130.33,'\'(42.8-55.2]\'',kobieta,12,1500,0,13,26,zly
250,'\'(30.4-42.8]\'',mezczyzna,12,700,3,8,23,zly
200,'\'(-inf-30.4]\'',mezczyzna,99,1393.85,2,4,4,dobry
789.27,'\'(55.2-67.6]\'',kobieta,13,860,0,79,48,dobry
600,'\'(-inf-30.4]\'',mezczyzna,11,1085.97,0,2,48,zly
300,'\'(42.8-55.2]\'',mezczyzna,13,1688.82,2,98,48,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1617.68,2,84,48,dobry
1000,'\'(67.6-inf)\'',kobieta,13,2100,3,54,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,1058,0,13,48,dobry
500,'\'(67.6-inf)\'',mezczyzna,13,1700,3,13,48,dobry
454,'\'(30.4-42.8]\'',kobieta,11,2927,2,200,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,2200,0,84,48,dobry
300,'\'(-inf-30.4]\'',mezczyzna,11,1459,1,8,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,936,1,30,48,dobry
2500,'\'(67.6-inf)\'',mezczyzna,13,2612,2,81,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1090.14,3,74,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,16,1600,2,11,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1026,4,246,48,dobry
416.61,'\'(42.8-55.2]\'',mezczyzna,11,2011,0,210,48,dobry
600,'\'(42.8-55.2]\'',mezczyzna,16,588,0,421,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1240,0,69,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1170,2,77,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1077.49,3,371,48,dobry
200,'\'(-inf-30.4]\'',kobieta,12,1100,0,14,17,dobry
200,'\'(42.8-55.2]\'',kobieta,16,685,0,40,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,13,3900,4,29,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1350,2,110,48,dobry
387.31,'\'(42.8-55.2]\'',mezczyzna,12,1952.35,3,3,11,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,1300,0,451,48,dobry
1000,'\'(30.4-42.8]\'',mezczyzna,11,2258,4,74,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,11,1842.86,2,7,48,dobry
250,'\'(55.2-67.6]\'',kobieta,16,1589,0,26,48,dobry
275.97,'\'(30.4-42.8]\'',kobieta,11,1000,3,60,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1000,4,11,25,dobry
600,'\'(55.2-67.6]\'',mezczyzna,13,1217,0,50,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,12,1030,0,8,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1134.96,0,160,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,697,0,124,48,zly
200,'\'(55.2-67.6]\'',kobieta,16,1389,3,90,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1375.47,1,6,8,dobry
500,'\'(55.2-67.6]\'',kobieta,13,2051,0,137,48,dobry
378.91,'\'(67.6-inf)\'',kobieta,13,1291.18,4,78,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1691.3,0,72,48,dobry
350,'\'(42.8-55.2]\'',kobieta,17,1031,2,50,48,zly
586.65,'\'(55.2-67.6]\'',kobieta,11,1680,4,69,48,dobry
200,'\'(67.6-inf)\'',mezczyzna,13,910.33,3,162,48,dobry
1569.98,'\'(42.8-55.2]\'',mezczyzna,11,2353,3,98,48,dobry
800,'\'(55.2-67.6]\'',mezczyzna,12,2500,2,4,5,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1077,0,182,48,dobry
238.78,'\'(42.8-55.2]\'',kobieta,11,1700,4,204,48,dobry
200,'\'(-inf-30.4]\'',kobieta,11,1373.34,1,57,48,dobry
662.69,'\'(-inf-30.4]\'',mezczyzna,11,2837,0,125,48,zly
400,'\'(42.8-55.2]\'',kobieta,12,1700,4,54,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,578.75,0,8,48,zly
300,'\'(67.6-inf)\'',kobieta,13,1300,0,192,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,11,1800,0,160,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,850,3,66,48,dobry
200,'\'(-inf-30.4]\'',kobieta,17,1200,4,164,48,dobry
350,'\'(55.2-67.6]\'',mezczyzna,13,1601.87,0,44,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,1700,3,305,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,1400,4,24,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,910,4,69,48,dobry
200,'\'(42.8-55.2]\'',mezczyzna,11,2094.17,0,240,48,dobry
300,'\'(42.8-55.2]\'',mezczyzna,12,1000,1,42,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1200.29,1,21,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1280,4,16,48,dobry
300,'\'(30.4-42.8]\'',kobieta,11,1286.16,0,116,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1216,4,140,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,13,1900,4,149,48,dobry
200,'\'(30.4-42.8]\'',mezczyzna,11,2200,0,42,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,16,1770,4,88,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,1501,0,140,48,zly
200,'\'(67.6-inf)\'',kobieta,13,722.05,3,196,48,dobry
200,'\'(67.6-inf)\'',kobieta,16,1235,0,32,48,dobry
385.97,'\'(42.8-55.2]\'',kobieta,11,1721.7,4,119,48,dobry
903.23,'\'(30.4-42.8]\'',kobieta,11,1900,3,178,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,11,1800,0,258,48,dobry
400,'\'(42.8-55.2]\'',mezczyzna,12,1963.88,3,5,5,dobry
400,'\'(30.4-42.8]\'',mezczyzna,11,3898,0,180,48,dobry
300,'\'(67.6-inf)\'',mezczyzna,13,1870,0,84,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,1239.98,1,254,48,dobry
200,'\'(42.8-55.2]\'',kobieta,12,984.34,3,17,20,dobry
500,'\'(-inf-30.4]\'',kobieta,12,1447,4,21,24,dobry
700,'\'(-inf-30.4]\'',mezczyzna,16,1278,0,77,48,zly
300,'\'(55.2-67.6]\'',kobieta,13,810,4,32,48,dobry
400,'\'(55.2-67.6]\'',kobieta,11,1730.13,2,192,48,dobry
322.07,'\'(30.4-42.8]\'',kobieta,11,2709.34,4,180,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,2899.34,0,120,48,dobry
227.08,'\'(55.2-67.6]\'',kobieta,11,1906.42,2,211,48,dobry
561.15,'\'(67.6-inf)\'',kobieta,13,1072,4,152,48,zly
500,'\'(55.2-67.6]\'',kobieta,13,1400,0,53,48,zly
600,'\'(55.2-67.6]\'',kobieta,13,1050,4,138,48,dobry
600,'\'(-inf-30.4]\'',mezczyzna,11,2700,4,63,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,17,728,4,99,48,dobry
300,'\'(-inf-30.4]\'',kobieta,12,1634,2,11,12,dobry
500,'\'(-inf-30.4]\'',mezczyzna,17,1896,0,33,33,zly
300,'\'(-inf-30.4]\'',mezczyzna,12,1029,0,3,11,zly
1500,'\'(55.2-67.6]\'',mezczyzna,98,3000,1,68,48,dobry
1070,'\'(67.6-inf)\'',kobieta,13,2421.55,0,244,48,dobry
250,'\'(-inf-30.4]\'',mezczyzna,98,3000,0,13,48,zly
200,'\'(42.8-55.2]\'',mezczyzna,11,1566.82,0,348,48,dobry
800,'\'(55.2-67.6]\'',kobieta,13,1820,4,68,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,907,2,233,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1100,1,32,48,dobry
400,'\'(30.4-42.8]\'',kobieta,11,1239.05,1,203,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,1865,1,19,21,dobry
400,'\'(42.8-55.2]\'',kobieta,98,3000,0,84,48,dobry
500,'\'(30.4-42.8]\'',kobieta,11,2400,3,112,48,dobry
300,'\'(-inf-30.4]\'',kobieta,11,901,3,39,48,zly
300,'\'(55.2-67.6]\'',mezczyzna,13,2110,4,100,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1015,4,108,48,zly
400,'\'(42.8-55.2]\'',kobieta,11,2368.57,2,409,48,dobry
300,'\'(30.4-42.8]\'',kobieta,11,2505,0,163,48,dobry
200,'\'(55.2-67.6]\'',kobieta,17,1100,2,26,33,dobry
255.49,'\'(42.8-55.2]\'',kobieta,16,1072.89,4,121,48,dobry
200,'\'(42.8-55.2]\'',kobieta,99,1100,1,51,48,dobry
600,'\'(55.2-67.6]\'',kobieta,13,1400,0,245,48,dobry
200,'\'(42.8-55.2]\'',kobieta,99,598,0,2,6,dobry
200,'\'(67.6-inf)\'',kobieta,13,1000,0,210,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,785,0,63,48,dobry
400,'\'(67.6-inf)\'',kobieta,13,1900,0,120,48,dobry
