@relation output-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L2-weka.filters.unsupervised.instance.RemoveWithValues-S900.0-C2-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {kobieta,mężczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
700,65,kobieta,13,930,4,130,48,0
426.66,47,mężczyzna,12,1574.45,2,30,35,0
500,72,kobieta,13,640,0,138,48,1
400,62,kobieta,13,1474.55,2,64,48,0
600,47,kobieta,12,830.46,2,44,48,4
357.31,40,mężczyzna,11,1261.98,3,35,48,0
265.58,62,kobieta,13,1189,3,69,48,0
350,61,mężczyzna,16,837,2,230,48,0
200,75,kobieta,13,965,3,244,48,1
200,57,kobieta,16,703,3,25,48,8
200,19,mężczyzna,99,750,3,3,5,0
600,54,kobieta,12,1675,3,8,11,0
400,54,kobieta,16,1045.6,4,11,48,0
400,66,kobieta,13,1137.19,3,95,48,0
300,35,kobieta,12,1200,3,8,14,0
200,46,kobieta,12,990.34,2,55,48,2
327,52,kobieta,11,2065.98,3,178,48,1
400,38,kobieta,11,800.51,0,19,48,11
400,57,kobieta,13,1817.24,2,17,48,1
300,77,kobieta,13,1239,3,269,48,0
300,25,mężczyzna,12,1400,2,11,32,1
200,57,mężczyzna,16,763.38,3,210,48,46
300,61,kobieta,13,997,3,78,48,2
515.96,58,kobieta,13,1801.41,0,37,48,9
241.15,54,mężczyzna,12,1030,3,8,24,4571
300,33,mężczyzna,11,1800,3,164,48,1
300,23,mężczyzna,11,1400,0,24,48,0
300,45,mężczyzna,11,2100,2,49,48,11
500,60,kobieta,13,1212,3,53,48,1
700,75,mężczyzna,13,2098,3,196,48,211
400,47,mężczyzna,12,600,4,8,27,0
200,49,mężczyzna,11,1400,3,13,48,0
662.81,52,mężczyzna,11,3200,3,188,48,0
500,60,kobieta,13,1000,3,67,48,0
200,72,kobieta,13,730,2,560,48,1
200,65,kobieta,13,802.83,3,200,48,0
369.53,72,kobieta,13,3541.9,1,126,48,24
600,32,kobieta,11,1290,3,18,48,2
300,60,mężczyzna,11,3000,4,211,48,2
400,43,mężczyzna,11,2284.23,1,299,48,2
200,69,kobieta,16,959.6,3,114,48,0
300,57,kobieta,11,1680,3,384,48,2
500,61,mężczyzna,11,1250,0,64,48,16
800,60,mężczyzna,11,1000,3,62,48,3
600,47,kobieta,11,1700,3,88,48,6
409.15,65,kobieta,16,892,2,200,48,0
294.37,52,kobieta,12,1050,2,33,36,0
300,62,kobieta,13,1130,3,102,48,0
300.4,56,kobieta,11,1172.2,3,36,48,0
600,41,kobieta,98,5000,2,83,48,5
300,54,mężczyzna,11,1700,3,38,48,1
300,57,kobieta,13,611,2,138,48,1
500,53,mężczyzna,11,1320,3,341,48,0
426.61,49,kobieta,11,2470,4,353,48,0
200,57,mężczyzna,13,12220,2,70,48,4
400,53,mężczyzna,11,4000,4,9,48,0
300,64,kobieta,16,1132,0,96,48,1
200,20,mężczyzna,17,985,4,12,13,0
717.02,64,mężczyzna,13,2010,2,137,48,0
600,49,kobieta,11,2800,3,318,48,1
500,70,kobieta,13,729.03,4,256,48,0
250,40,mężczyzna,12,700,3,8,23,4568
200,29,mężczyzna,99,1393.85,2,4,4,6
789.27,63,kobieta,13,860,0,79,48,1
300,46,mężczyzna,13,1688.82,2,98,48,7
200,52,kobieta,11,1617.68,2,84,48,215
300,35,mężczyzna,11,1058,0,13,48,0
500,72,mężczyzna,13,1700,3,13,48,3
454,38,kobieta,11,2927,2,200,48,0
500,35,mężczyzna,11,2200,0,84,48,12
300,26,mężczyzna,11,1459,1,8,48,6
500,60,kobieta,13,936,1,30,48,0
400,61,kobieta,13,1090.14,3,74,48,2
200,67,mężczyzna,16,1600,2,11,48,0
200,74,kobieta,13,1026,4,246,48,0
416.61,52,mężczyzna,11,2011,0,210,48,13
600,55,mężczyzna,16,588,0,421,48,2
300,58,kobieta,13,1240,0,69,48,2
400,61,kobieta,13,1170,2,77,48,0
300,48,kobieta,11,1077.49,3,371,48,2
200,26,kobieta,12,1100,0,14,17,4
200,52,kobieta,16,685,0,40,48,0
300,49,mężczyzna,13,3900,4,29,48,0
300,65,kobieta,13,1350,2,110,48,0
387.31,44,mężczyzna,12,1952.35,3,3,11,0
200,53,mężczyzna,11,1300,0,451,48,0
400,56,mężczyzna,11,1842.86,2,7,48,0
250,58,kobieta,16,1589,0,26,48,0
275.97,41,kobieta,11,1000,3,60,48,14
200,24,mężczyzna,12,1000,4,11,25,0
600,65,mężczyzna,13,1217,0,50,48,0
200,51,mężczyzna,12,1030,0,8,48,3
200,68,kobieta,13,1134.96,0,160,48,0
200,63,kobieta,16,1389,3,90,48,0
300,45,mężczyzna,12,1375.47,1,6,8,0
500,63,kobieta,13,2051,0,137,48,0
378.91,70,kobieta,13,1291.18,4,78,48,0
500,62,kobieta,13,1691.3,0,72,48,3
350,53,kobieta,17,1031,2,50,48,4564
586.65,57,kobieta,11,1680,4,69,48,2
200,73,mężczyzna,13,910.33,3,162,48,7
800,57,mężczyzna,12,2500,2,4,5,0
200,55,kobieta,11,1077,0,182,48,0
238.78,53,kobieta,11,1700,4,204,48,0
200,30,kobieta,11,1373.34,1,57,48,1
662.69,30,mężczyzna,11,2837,0,125,48,4564
400,54,kobieta,12,1700,4,54,48,0
300,77,kobieta,13,1300,0,192,48,0
300,57,mężczyzna,11,1800,0,160,48,0
400,66,kobieta,13,850,3,66,48,2
200,25,kobieta,17,1200,4,164,48,0
350,64,mężczyzna,13,1601.87,0,44,48,6
500,51,kobieta,11,1700,3,305,48,0
300,43,kobieta,11,1400,4,24,48,2
200,66,kobieta,13,910,4,69,48,0
200,53,mężczyzna,11,2094.17,0,240,48,0
300,50,mężczyzna,12,1000,1,42,48,1
200,62,kobieta,13,1200.29,1,21,48,0
400,61,kobieta,13,1280,4,16,48,2
300,42,kobieta,11,1286.16,0,116,48,0
200,66,kobieta,13,1216,4,140,48,0
500,56,mężczyzna,13,1900,4,149,48,5
200,42,mężczyzna,11,2200,0,42,48,0
500,58,mężczyzna,16,1770,4,88,48,0
200,71,kobieta,13,722.05,3,196,48,0
200,70,kobieta,16,1235,0,32,48,0
385.97,54,kobieta,11,1721.7,4,119,48,0
400,51,mężczyzna,11,1800,0,258,48,0
400,44,mężczyzna,12,1963.88,3,5,5,0
400,36,mężczyzna,11,3898,0,180,48,0
300,72,mężczyzna,13,1870,0,84,48,0
300,78,kobieta,13,1239.98,1,254,48,0
200,53,kobieta,12,984.34,3,17,20,4
500,29,kobieta,12,1447,4,21,24,1
300,60,kobieta,13,810,4,32,48,3
400,56,kobieta,11,1730.13,2,192,48,3
322.07,35,kobieta,11,2709.34,4,180,48,0
400,35,kobieta,11,2899.34,0,120,48,0
227.08,60,kobieta,11,1906.42,2,211,48,7
561.15,69,kobieta,13,1072,4,152,48,292
500,59,kobieta,13,1400,0,53,48,385
600,61,kobieta,13,1050,4,138,48,0
600,30,mężczyzna,11,2700,4,63,48,0
200,27,mężczyzna,17,728,4,99,48,3
300,22,kobieta,12,1634,2,11,12,3
500,22,mężczyzna,17,1896,0,33,33,4559
300,23,mężczyzna,12,1029,0,3,11,4559
200,46,mężczyzna,11,1566.82,0,348,48,0
800,61,kobieta,13,1820,4,68,48,0
200,70,kobieta,13,907,2,233,48,2
200,26,mężczyzna,12,1100,1,32,48,9
400,39,kobieta,11,1239.05,1,203,48,6
200,31,kobieta,12,1865,1,19,21,5
400,52,kobieta,98,3000,0,84,48,2
500,35,kobieta,11,2400,3,112,48,4
300,28,kobieta,11,901,3,39,48,387
300,66,mężczyzna,13,2110,4,100,48,1
400,64,kobieta,13,1015,4,108,48,4557
400,54,kobieta,11,2368.57,2,409,48,0
300,40,kobieta,11,2505,0,163,48,0
200,56,kobieta,17,1100,2,26,33,0
255.49,55,kobieta,16,1072.89,4,121,48,0
200,53,kobieta,99,1100,1,51,48,1
600,59,kobieta,13,1400,0,245,48,1
200,52,kobieta,99,598,0,2,6,0
200,75,kobieta,13,1000,0,210,48,0
200,72,kobieta,13,785,0,63,48,0
400,75,kobieta,13,1900,0,120,48,0
500,37,kobieta,11,2700,4,120,48,0
500,32,kobieta,11,3100,4,120,48,0
500,49,kobieta,11,1800,4,52,48,1
200,47,kobieta,11,1493.98,3,360,48,0
200,51,kobieta,11,932.34,4,394,48,0
600,43,kobieta,11,1443,4,33,48,0
300,26,kobieta,12,1300,3,7,12,2
300,22,kobieta,12,1500,3,3,4,2
492.01,35,kobieta,98,4000,4,18,48,10
400,53,kobieta,16,1362,4,28,48,0
300,58,kobieta,13,1244.77,4,38,48,4
700,58,kobieta,13,1872,4,34,48,2
200,63,kobieta,16,1340,0,160,48,0
300,67,mężczyzna,13,1573,0,88,48,1
200,47,kobieta,98,2200,4,24,48,0
300,30,mężczyzna,12,1637,0,51,48,0
395.77,63,kobieta,13,1668,4,90,48,0
201.4,60,kobieta,13,1107,2,14,48,9
200,39,kobieta,12,1048.27,0,2,19,13
300,61,kobieta,13,2282,0,24,48,0
417,27,kobieta,11,1500,0,23,48,133
300,57,kobieta,16,634.64,3,135,48,0
500,24,mężczyzna,11,2327.94,0,34,48,0
575.74,32,mężczyzna,11,2050,4,117,48,10
300,46,kobieta,98,911,4,97,48,1
200,61,kobieta,13,992.96,0,11,48,0
300,30,mężczyzna,11,1000,4,56,48,1
200,70,kobieta,13,865,4,127,48,0
300,54,mężczyzna,11,2100,1,37,48,2
300,49,kobieta,11,992.84,4,120,48,0
200,57,kobieta,99,780,0,0,3,0
500,60,mężczyzna,11,2100,3,186,48,0
600,59,kobieta,13,1370,3,75,48,0
371.45,61,mężczyzna,13,1500,4,22,48,1
200,31,kobieta,12,980,4,9,10,4
600,54,kobieta,11,1300,1,67,48,19
500,36,kobieta,11,1700,3,196,48,69
500,61,kobieta,13,1310,0,77,48,5
200,50,mężczyzna,16,1045,3,198,48,3
600,33,kobieta,12,1540,1,38,39,5
200,57,kobieta,11,983.97,2,77,48,5
300,46,kobieta,12,1038.68,0,20,26,0
295.24,46,kobieta,12,1032,4,37,40,4
300,44,mężczyzna,11,3300,0,236,48,0
400,67,kobieta,13,815,1,143,48,0
246.99,52,kobieta,11,1400,4,160,48,0
200,30,mężczyzna,12,1521,0,19,30,0
400,34,kobieta,11,980.11,1,44,48,6
300,26,mężczyzna,12,1800,0,53,48,0
500,50,kobieta,17,990,0,71,48,0
400,64,mężczyzna,11,2600,0,134,48,0
200,55,mężczyzna,11,1460.17,1,60,48,11
450,68,mężczyzna,13,2000,4,44,48,12
500,66,mężczyzna,16,1151,0,360,48,311
400,65,mężczyzna,16,1473.04,1,164,48,0
500,58,kobieta,13,720,1,231,48,101
200,53,kobieta,16,749.28,4,64,48,0
300,70,mężczyzna,13,1420,0,52,48,4
895.59,47,mężczyzna,11,2500,0,203,48,4
300,52,kobieta,11,1400,0,160,48,0
500,62,kobieta,13,962,0,64,48,3
300,71,mężczyzna,13,1426,4,76,48,0
300,63,kobieta,13,1100,1,104,48,0
200,48,kobieta,11,967.64,3,318,48,0
700,62,kobieta,13,3700,4,26,48,0
300,71,mężczyzna,13,1772.53,1,279,48,4
300,70,kobieta,13,1016,0,188,48,0
348.19,59,mężczyzna,11,2947,4,52,48,4550
407.31,68,kobieta,16,980,4,130,48,9
500,61,kobieta,13,1362,4,55,48,14
300,72,kobieta,13,2100,1,159,48,282
500,62,kobieta,13,1900,4,87,48,0
328,60,mężczyzna,12,1000,4,11,14,0
328.32,50,kobieta,12,1000,4,31,34,0
277.34,39,kobieta,11,1770,4,86,48,2
500,57,kobieta,11,2249.14,0,240,48,155
350,78,mężczyzna,13,1519,1,254,48,0
500,53,mężczyzna,11,2080,0,318,48,0
200,49,kobieta,17,1079,0,29,38,0
200,56,kobieta,98,980,3,10,48,0
400,50,kobieta,11,1577.42,1,205,48,23
700,61,kobieta,13,2066,4,129,48,2
800,56,kobieta,13,580,4,119,48,4550
600,51,kobieta,11,3200,4,54,48,0
300,45,mężczyzna,12,670,4,9,11,0
200,54,kobieta,11,1400,4,117,48,2
200,39,mężczyzna,11,1300,4,45,48,0
284.19,38,kobieta,98,1200,4,46,48,2
300,46,kobieta,11,900,4,93,48,1
200,58,kobieta,16,634,3,51,48,0
200,74,kobieta,13,1026,4,247,48,1
296,59,kobieta,13,1658,4,29,48,0
200,68,kobieta,13,803.86,4,158,48,1
250,42,kobieta,99,2290.55,1,18,20,0
300,71,mężczyzna,13,562,0,81,48,1
200,63,mężczyzna,13,1287.66,3,96,48,0
400,53,kobieta,11,1300,0,34,48,265
300,46,mężczyzna,11,1360,0,120,48,0
200,65,kobieta,13,670,0,66,48,0
799.85,33,kobieta,11,2050,0,29,48,7
400,60,kobieta,16,1411,1,66,48,2
200,37,kobieta,12,599.03,3,19,21,0
300,63,kobieta,13,1233,3,123,48,0
800,55,kobieta,13,3440,4,51,48,0
200,71,kobieta,13,1185.33,4,224,48,1
659.87,65,mężczyzna,13,3040,0,201,48,1
400,60,kobieta,13,1500,0,60,48,0
200,31,kobieta,12,1032.34,4,5,11,7
200,60,kobieta,13,1635,4,120,48,1
218.32,61,kobieta,13,975,4,27,48,7
700,61,kobieta,13,1977,2,55,48,0
315.49,73,mężczyzna,13,960,4,140,48,6
200,62,mężczyzna,13,1162,4,221,48,1
700,55,kobieta,16,2300,5,63,48,0
800,35,mężczyzna,12,1500,1,33,35,10
375.81,29,mężczyzna,11,1888.27,0,77,48,10
300,63,kobieta,13,917,2,76,48,0
216.24,45,kobieta,11,1344.9,3,46,48,0
400,62,mężczyzna,16,1313.41,4,28,48,4
200,73,kobieta,13,866.46,1,195,48,0
400,54,kobieta,11,2800,4,60,48,1
495.15,38,mężczyzna,11,2470,1,66,48,2
600,46,mężczyzna,11,2000,0,51,48,0
350,61,mężczyzna,13,1503,0,166,48,12
235.97,65,mężczyzna,12,1100,4,22,36,5
600,68,kobieta,13,2120,4,119,48,0
500,70,kobieta,13,1200,4,119,48,9
460,65,kobieta,13,1013.74,4,113,48,2
400,58,kobieta,11,1500,3,85,48,3
350,56,kobieta,17,547.89,1,56,48,4
300,66,kobieta,13,1031,0,121,48,0
700,65,kobieta,13,930,5,131,48,3
600,51,mężczyzna,12,2673.17,4,112,48,3
670,63,kobieta,13,930,1,94,48,3
400,62,kobieta,13,714,5,222,48,0
400,64,kobieta,13,840,2,113,48,0
423.23,31,mężczyzna,11,2700,4,15,48,2
200,55,kobieta,12,1350,4,22,24,3
300,55,kobieta,12,1009.34,3,29,48,4543
200,65,mężczyzna,13,1611,2,141,48,0
500,49,kobieta,11,2500,0,233,48,0
600,29,mężczyzna,12,1300,4,27,41,315
300,54,mężczyzna,17,798.8,4,149,48,4543
300,70,kobieta,13,1000,1,64,48,0
300,49,mężczyzna,12,1042,1,5,11,351
300,39,kobieta,12,1027,4,9,48,3
250,45,kobieta,11,3000,4,93,48,3
300,35,kobieta,12,1200,4,9,14,5
400,66,kobieta,13,1137.19,4,96,48,5
300,68,kobieta,13,1027,0,192,48,0
200,65,kobieta,13,802.83,4,201,48,1
400,77,kobieta,13,1239,4,270,48,5
200,67,kobieta,13,720.19,2,93,48,1
500,61,mężczyzna,11,2250.05,2,176,48,380
400,47,mężczyzna,12,600,5,9,27,1
300,44,mężczyzna,11,3300,1,237,48,0
300,75,mężczyzna,13,1150,0,138,48,16
265.58,62,kobieta,13,1189,4,70,48,1
417.8,47,mężczyzna,12,1574.45,3,31,35,0
500,53,mężczyzna,11,1320,4,342,48,1
400,47,kobieta,11,3170,4,285,48,189
357.31,40,mężczyzna,11,1261.98,4,36,48,5
350,61,mężczyzna,16,837,3,231,48,0
606.35,52,mężczyzna,11,3200,4,189,48,0
400,62,kobieta,13,1474.55,3,65,48,1
500,73,kobieta,13,951,4,162,48,5
400,40,kobieta,12,660,4,12,38,5
400,54,kobieta,16,1045.6,5,12,48,1
600,54,kobieta,12,1675,4,9,11,0
200,63,kobieta,16,1600,0,24,48,0
300,33,mężczyzna,11,1800,4,165,48,0
300,25,mężczyzna,12,1400,3,12,32,15
400,57,kobieta,13,1817.24,3,18,48,0
200,53,kobieta,16,1740,1,114,48,0
500,72,kobieta,13,640,1,139,48,4
200,75,kobieta,13,965,4,245,48,13
600,39,kobieta,11,1800,0,52,48,12
500,60,kobieta,13,1212,4,54,48,0
367.31,61,kobieta,13,1684,4,20,48,8
407.1,64,mężczyzna,13,2010,0,138,48,0
327,52,kobieta,11,2065.98,4,179,48,19
500,60,kobieta,13,1000,4,68,48,4
449.33,38,kobieta,11,2927,3,201,48,2
200,23,mężczyzna,11,1400,0,25,48,0
496.83,31,kobieta,11,1600,4,14,48,48
200,69,kobieta,16,959.6,4,115,48,0
400,61,kobieta,13,1170,3,78,48,0
200,56,kobieta,11,1172.2,4,37,48,2
321.21,65,kobieta,16,892,3,201,48,0
250,54,kobieta,17,864.6,0,2,7,2
300,62,kobieta,13,1130,4,103,48,3
200,46,kobieta,12,990.34,3,56,48,3
286.94,52,kobieta,12,1050,3,34,36,2
300,61,kobieta,13,997,4,79,48,0
200,66,kobieta,13,1428.55,4,137,48,4
693.7,38,kobieta,11,1900,0,208,48,0
300,77,kobieta,13,1300,1,193,48,0
200,72,kobieta,13,730,3,561,48,3
600,65,mężczyzna,13,1217,1,51,48,0
426.61,49,kobieta,11,2470,5,354,48,2
200,52,kobieta,99,598,1,3,6,3
300,54,mężczyzna,11,1700,4,39,48,4
400,58,kobieta,16,1589,0,27,48,3
500,57,kobieta,13,1530,0,25,48,0
400,53,mężczyzna,11,4000,5,10,48,3
200,20,mężczyzna,17,985,5,13,17,4
500,70,kobieta,13,729.03,5,257,48,0
300,57,kobieta,13,611,3,139,48,1
300,60,mężczyzna,11,3000,5,212,48,3
600,32,kobieta,11,1290,4,19,48,0
297.69,63,kobieta,13,1014,0,183,48,9
600,47,kobieta,12,830.46,3,45,48,4
300,64,kobieta,16,1132,1,97,48,0
200,75,kobieta,13,616,4,246,48,0
300,21,mężczyzna,12,952.89,0,23,26,0
300,49,mężczyzna,13,3900,5,30,48,0
300,65,kobieta,13,1350,3,111,48,0
200,31,mężczyzna,98,2000,0,14,48,0
500,60,kobieta,13,936,2,31,48,0
388.45,43,mężczyzna,98,3178,0,201,48,11
371.01,44,mężczyzna,12,1952.35,4,4,11,0
300,57,kobieta,11,1680,4,385,48,2
600,49,kobieta,11,2800,4,319,48,0
783.61,63,kobieta,13,860,1,80,48,9
800,60,mężczyzna,11,1000,4,63,48,0
400,56,mężczyzna,11,1842.86,3,8,48,1
300,65,kobieta,13,1210,0,138,48,2
500,63,kobieta,13,2051,1,138,48,0
200,24,mężczyzna,12,1000,5,12,25,1
200,74,kobieta,13,1026,5,247,48,1
250,51,kobieta,11,1700,4,306,48,5
600,41,kobieta,98,5000,0,84,48,1
200,55,kobieta,11,1077,1,183,48,0
300,45,mężczyzna,12,1375.47,2,7,8,0
600,55,mężczyzna,16,588,1,422,48,8
200,52,kobieta,16,685,0,41,48,0
300,58,kobieta,13,1240,1,70,48,0
400,61,kobieta,13,1090.14,4,75,48,0
300,48,kobieta,11,1077.49,4,372,48,9
200,57,mężczyzna,13,12220,3,71,48,3
200,68,kobieta,13,1134.96,1,161,48,1
300,42,kobieta,11,1286.16,1,117,48,0
200,63,kobieta,16,1389,4,91,48,0
800,57,mężczyzna,12,2500,3,5,10,0
378.91,70,kobieta,13,1291.18,5,79,48,0
200,25,kobieta,17,1200,5,165,48,5
400,54,kobieta,12,1700,5,55,48,0
200,53,kobieta,11,1700,5,205,48,2
400,30,mężczyzna,11,2700,0,64,48,5
500,72,mężczyzna,13,1700,4,14,48,0
600,47,kobieta,11,1700,4,89,48,6
300,71,mężczyzna,13,1295.37,0,307,48,0
300,49,mężczyzna,11,1400,0,14,48,9
300,53,mężczyzna,11,1300,0,452,48,0
200,30,kobieta,11,1373.34,2,58,48,270
200,57,kobieta,16,703,4,26,48,0
200,66,kobieta,13,910,5,70,48,0
200,26,kobieta,12,1100,1,15,17,4
700,37,mężczyzna,12,3000,0,8,10,20
200,53,mężczyzna,11,2094.17,1,241,48,0
300,35,kobieta,11,2899.34,1,121,48,0
200,71,kobieta,13,722.05,4,197,48,0
515.96,58,kobieta,13,1801.41,0,38,48,6
400,72,mężczyzna,13,1870,0,85,48,0
500,58,mężczyzna,16,1770,5,89,48,0
200,41,kobieta,11,1037.34,0,62,48,4532
397.31,60,kobieta,13,1149.06,0,161,48,263
400,66,kobieta,13,850,4,67,48,3
200,29,mężczyzna,99,1393.85,3,5,5,4
300,21,mężczyzna,12,1500,0,6,8,0
200,66,kobieta,13,1216,5,141,48,75
300,48,kobieta,98,1357,0,1,48,0
300,50,mężczyzna,12,1000,2,43,48,0
300,78,kobieta,13,1239.98,2,255,48,0
345.97,54,kobieta,11,1721.7,5,120,48,0
500,36,mężczyzna,11,3898,0,181,48,3
500,62,kobieta,13,1691.3,1,73,48,13
400,59,mężczyzna,13,3900,0,114,48,2
300,26,mężczyzna,11,1459,2,9,48,7
200,46,mężczyzna,11,1566.82,1,349,48,0
314.83,35,kobieta,11,2709.34,5,181,48,3
400,51,mężczyzna,11,1800,1,259,48,0
298.74,46,mężczyzna,13,1688.82,3,99,48,4529
200,72,kobieta,13,785,1,64,48,0
600,61,kobieta,13,1050,5,139,48,0
500,44,mężczyzna,12,1952.35,0,4,11,1
400,48,kobieta,11,980,0,200,48,0
370,40,kobieta,11,1087,0,238,48,234
200,62,kobieta,13,714,0,222,48,0
500,33,mężczyzna,11,2261,0,51,48,4529
500,35,kobieta,11,1792,0,62,48,4529
400,44,mężczyzna,12,1963.88,4,6,6,4
290,61,kobieta,13,1280,5,17,48,0
250,38,kobieta,11,800.51,0,20,48,1
300,62,kobieta,13,1525.46,0,36,48,9
300,45,mężczyzna,11,2100,0,50,48,0
200,63,kobieta,16,1600,1,24,48,0
500,29,kobieta,12,1447,5,22,24,3
300,61,kobieta,13,2282,1,25,48,0
399.72,54,kobieta,11,2368.57,3,410,48,15
200,70,kobieta,13,907,3,234,48,2
200,51,kobieta,11,932.34,5,395,48,0
300,60,kobieta,13,810,5,33,48,1
200,40,kobieta,11,2505,1,164,48,0
200,47,kobieta,11,1493.98,4,361,48,0
400,56,kobieta,11,1730.13,3,193,48,0
400,60,kobieta,13,1425,0,79,48,0
200,73,mężczyzna,13,910.33,4,163,48,0
300,74,mężczyzna,13,1180,0,140,48,0
400,35,mężczyzna,98,1256,0,69,48,0
300,79,kobieta,13,1442.43,0,141,48,0
200,56,kobieta,17,1100,3,27,33,2
400,52,kobieta,98,3000,1,85,48,0
700,37,kobieta,11,3178.76,0,121,48,0
700,32,kobieta,11,3100,0,121,48,0
400,75,kobieta,13,1900,1,121,48,1
600,43,kobieta,11,1443,5,34,48,0
200,30,mężczyzna,12,1521,1,20,30,0
400,59,kobieta,16,1090,0,77,48,294
500,56,mężczyzna,13,1900,5,150,48,0
200,27,mężczyzna,17,728,5,100,48,0
200,53,kobieta,12,984.34,4,18,20,6
300,66,mężczyzna,13,2110,5,101,48,1
500,49,kobieta,11,1800,5,53,48,0
